"filename", "language", "JavaScript", "Handlebars", "JSON", "Log", "XML", "CSS", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Jobs.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 88
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Link.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Notification.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\Resident.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 150
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\models\UnitTeam.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 51
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\adminRoutes.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39, 288
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\authRoutes.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 55
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\classificationRoutes.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 73
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\clearanceRoutes.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 87
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\employerRoutes.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 121
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\facility_managementRoutes.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 92
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\notificationRoutes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 55
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\requestRoutes.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 49
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\residentRoutes.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 50
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\sharedRoutes.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 54
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\routes\unitTeamRoutes.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 96
