"filename", "language", "JSON", "JavaScript", "Handlebars", "CSS", "Markdown", "Less", "TypeScript", "SCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-companies.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-employers.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-residents.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-unitTeam.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\css\login.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\css\style.css", "CSS", 0, 0, 0, 976, 0, 0, 0, 0, 0, 0, 64, 198, 1238
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\img\not-found.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\login.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 58
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\main.js", "JavaScript", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 122, 23, 336
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\requestClearance.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 57
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\residentApprovalForm.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 52
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\js\residentLogin.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 33
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.amd.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.common.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.css", "CSS", 0, 0, 0, 576, 0, 0, 0, 0, 0, 0, 0, 113, 689
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.esm.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.js", "JavaScript", 0, 28157, 0, 0, 0, 0, 0, 0, 0, 0, 2942, 1153, 32252
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\apexcharts.min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\ar.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\be-cyrl.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\app\assets\vendor\apexcharts\locales\be-latn.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
